actively_hiring,Type_of_job,company_name,location,salary,experience,experience_enc
,vendor developer,sparsa digital private limited,gurgaon,₹  2 - 3 lpa,0-2 years,2
,marketing executive,jp response management company private limited,delhi,₹  2 - 3 lpa,0-2 years,2
,junior lead generation executive,explore and do technologies private limited,hyderabad,₹  2 - 2.5 lpa,0-2 years,2
,associate - sales operations,upgrad (upgrad education private limited),gurgaon,₹  2.4 - 4.2 lpa,0-2 years,2
,design engineer,river learning,mysuru,₹  2 - 3 lpa,0-2 years,2
,business development associate,bragnam learning private limited,chandigarh,₹  2 - 3 lpa,0-2 years,2
1.0,user experience designer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,data entry executive,grs infotech,remote,₹  2 lpa,0-2 years,2
1.0,tele sales executive,zigsaw consultancy,thane,₹  3 lpa,0-2 years,2
1.0,it data visualization trainee,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it augmented reality (ar)/virtual reality (vr) executive,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it data center operations associate,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it innovation and emerging technologies executive,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,business development executive,corizo edu-tech,bangalore,₹  4 - 6.5 lpa,0-5 years,4
1.0,it operations analyst,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,content writer,redwood algorithms,remote,₹  2 - 4 lpa,0-2 years,2
1.0,it sales representative,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
,academic counsellor,moople institue of animation and design,kolkata,₹  3 lpa,0-2 years,2
,fashion stylist,jewels infosystems,jaipur,₹  2 - 2.4 lpa,0-2 years,2
,business development associate,byju's,coimbatore,₹  7 - 8 lpa,0-5 years,4
,associate ui/ux designer,akut high tech,remote,₹  2.6 lpa,0-2 years,2
,associate coordinator,careernet technologies private limited,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,cloud solutions architect,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,quality assurance analyst,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,field salesman,zigsaw consultancy,mumbai,₹  3 - 3.6 lpa,0-2 years,2
,business development trainee,propellum infotech,mumbai,₹  2 - 3 lpa,0-2 years,2
,junior operations associate,mfine,delhi,₹  3 - 3.5 lpa,0-2 years,2
,business development associate,cognosia,remote,₹  3 - 5 lpa,0-5 years,4
1.0,database administrator,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
,graphic designer,indifoot,remote,₹  2.1 - 2.9 lpa,0-2 years,2
1.0,it project manager,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,react native developer,omikron technologies private limited,remote,₹  3 lpa,0-2 years,2
1.0,ui/ux designer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it release manager,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
,inside sales executive,wavity private limited,hyderabad,₹  2.5 - 3.5 lpa,0-2 years,2
,client servicing executive - junior,white background studio,mumbai,₹  2 - 2.4 lpa,0-2 years,2
,video editor trainee,melonleaf consulting,gurgaon,₹  3 - 3.3 lpa,0-2 years,2
,fashion designer,flutch technology private limited,bangalore,₹  2.5 - 3 lpa,0-2 years,2
,barista,bäcker deutschland,bangalore,₹  2 - 2.1 lpa,0-2 years,2
,telecaller,rebin infotech,kolkata,₹  2 - 2.1 lpa,0-2 years,2
,digital marketing executive,adjar,gurgaon,₹  2 - 2.4 lpa,0-2 years,2
,seo executive,tis digitech india,delhi,₹  2 - 3 lpa,0-2 years,2
,azure trainer,acs networks and technologies,pune,₹  2.4 - 4 lpa,0-2 years,2
,business development associate,nouvel facilities private limited,delhi,₹  4 - 6 lpa,0-5 years,4
,sales executive,nobroker,bangalore,₹  4.8 - 5.1 lpa,0-5 years,4
,business development specialist,scrollit,remote,₹  2 - 2.5 lpa,0-2 years,2
,visual designer,the event studio,mumbai,₹  2 - 2.5 lpa,0-2 years,2
,fresher - sales trainee,thinkstartup,gurgaon,₹  2 - 2.2 lpa,0-2 years,2
,database building/management associate,ipics,jaipur,₹  2.2 - 2.8 lpa,0-2 years,2
,retail sales associate trainer,nav bharat nirman foundation,agartala,₹  2 - 2.5 lpa,0-2 years,2
,customer engagement executive,iris business services limited,remote,₹  2 - 3 lpa,0-2 years,2
1.0,it asset manager,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
,client servicing executive,cog digital private limited,gurgaon,₹  3.6 - 4.2 lpa,0-2 years,2
,junior digital strategist - facebook marketing,valueleaf services india private limited,bangalore,₹  3 - 4 lpa,0-2 years,2
,corporate sales specialist,symetree,remote,₹  3 - 6 lpa,0-5 years,4
,business development executive,utf technologies india private limited,bangalore,₹  2.1 - 2.3 lpa,0-2 years,2
,executive - creative,bonphul air products private limited,noida,₹  2 - 2.4 lpa,0-2 years,2
,fundraising executive,happy faces by unique staffing services and consultant,delhi,₹  2 - 3 lpa,0-2 years,2
,junior feature writer,web news observer,remote,₹  2 - 2.5 lpa,0-2 years,2
,full stack developer,koolio inc.,remote,₹  2.5 - 3 lpa,0-2 years,2
,legal associate,unity legal law offices,delhi,₹  3 lpa,0-2 years,2
,accounting & operations,infoviz technologies private limited,bangalore,₹  2 - 2.4 lpa,0-2 years,2
,business development executive,slimjim,mumbai,₹  2.7 - 3.2 lpa,0-2 years,2
1.0,it disaster recovery specialist,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it business intelligence analyst,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,associate software developer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,network administrator,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it service delivery manager,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it network technician,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,it communications specialist,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,customer relations executive,rorosaur foodtech private limited,remote,₹  2 - 3 lpa,0-2 years,2
1.0,it technical writer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,junior social media marketing associate,gigde global solutions private limited,ghaziabad,₹  3 - 4 lpa,0-2 years,2
1.0,tracking executive (control tower),zigsaw consultancy,pune,₹  2.4 lpa,0-2 years,2
1.0,data engineer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,full stack developer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
,hr associate,auto mechanics,remote,₹  2.4 - 3 lpa,0-2 years,2
1.0,assistant hr manager,density exchange,bangalore,₹  3 - 5.5 lpa,0-5 years,4
1.0,graphic designer,redwood algorithms,remote,₹  2 - 4 lpa,0-2 years,2
1.0,backend developer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,front-end developer,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
1.0,techical business analyst,across the globe (atg),remote,₹  3 - 5 lpa,0-5 years,4
1.0,it operations manager,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
,international marketing executive,epp composites,remote,₹  8.8 lpa,0-5 years,4
,human resources (hr) executive,next education india private limited,hyderabad,₹  2 - 2.1 lpa,0-2 years,2
1.0,anchor and event coordinator,marpu foundation,hyderabad,₹  2 - 3 lpa,0-2 years,2
1.0,business development associate,byju's the learning app,chandigarh,₹  4 - 5 lpa,0-5 years,4
,associate telecaller,geetanjali institute,remote,₹  2 - 3 lpa,0-2 years,2
,associate accountant,shethia and associates,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,operations & supply chain executive,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,industrial design executive,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,e-commerce listing & order processing specialist,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,influencer marketing specialist,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,administration & operations trainee,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,packaging designer,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
,social media manager,deeshuumm,delhi,₹  2 - 3 lpa,0-2 years,2
1.0,general management trainee,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,blog writer,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,video script writer,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,procurement specialist,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,product designing trainee (early childhood toys),pereyan llp,bangalore,₹  2 - 4 lpa,0-2 years,2
1.0,laser machine operator executive,pereyan llp,bangalore,₹  2 - 4 lpa,0-2 years,2
1.0,product media specialist,pereyan llp,bangalore,₹  2 - 4 lpa,0-2 years,2
1.0,human resources & business executive,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,supply chain executive,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,toy designer,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,content writer,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,production manager,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,assistant manager,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,visual design trainee,pereyan llp,bangalore,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,montessori instructor trainee,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,associate production engineer,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,content marketing analyst (seo),pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,digital marketing executive,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,video editor,pereyan llp,bangalore,₹  3 - 3.1 lpa,0-2 years,2
1.0,video instructor trainee,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,poster design trainee,pereyan llp,bangalore,₹  2.4 - 4 lpa,0-2 years,2
1.0,marketing trainee,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,marketing associate,pereyan llp,bangalore,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,e-commerce reel producer trainee,pereyan llp,bangalore,₹  2 - 4 lpa,0-2 years,2
1.0,production management trainee (wooden toys and papers),pereyan llp,bangalore,₹  2 - 2.4 lpa,0-2 years,2
1.0,business development executive,zigsaw consultancy,chennai,₹  3 lpa,0-2 years,2
1.0,sales support trainee,pereyan llp,bangalore,₹  3 - 3.1 lpa,0-2 years,2
,digital marketing executive,legal drafter services,remote,₹  2 - 3 lpa,0-2 years,2
1.0,corporate sales executive,the learn cloud,remote,₹  3 - 4.8 lpa,0-2 years,2
1.0,sales telecaller,studymonk,remote,₹  3 - 4 lpa,0-2 years,2
1.0,google analytics manager,chalk digital,remote,₹  2 - 6 lpa,0-5 years,4
1.0,customer service representative (non-voice process),astrotalk,remote,₹  2 - 2.4 lpa,0-2 years,2
1.0,entrepreneurship professor,whizjuniors,remote,₹  3 - 4 lpa,0-2 years,2
1.0,site supervisor - electrical,saluja cad consultancy,gurgaon,₹  2 - 3 lpa,0-2 years,2
1.0,computer operator,saluja cad consultancy,gurgaon,₹  2 - 3 lpa,0-2 years,2
1.0,business development associate,yog yatra with shashi yoga studio,bangalore,₹  2 - 2.5 lpa,0-2 years,2
1.0,tele-sales representative,stirring minds,delhi,₹  2 - 2.3 lpa,0-2 years,2
1.0,business development associate,stirring minds,delhi,₹  2.1 - 2.3 lpa,0-2 years,2
1.0,autocad electrician designing,saluja cad consultancy,gurgaon,₹  2 - 3 lpa,0-2 years,2
1.0,client acquisition executive,stirring minds,delhi,₹  2.1 lpa,0-2 years,2
1.0,admission counselor,krs educreations private limited,greater noida,₹  2 - 3 lpa,0-2 years,2
1.0,financial sales operator,wemakescholars,chennai,₹  3 - 3.7 lpa,0-2 years,2
1.0,merchandiser,peppermint communications private limited,bhiwandi,₹  2 - 3 lpa,0-2 years,2
1.0,client service executive,peppermint communications private limited,bhiwandi,₹  2 - 3 lpa,0-2 years,2
1.0,stock researcher,thecoinrepublic,indore,₹  2 - 4 lpa,0-2 years,2
1.0,sales associate,ockypocky,delhi,₹  3 - 3.5 lpa,0-2 years,2
1.0,accountant,yadnya,thane,₹  2.5 - 3 lpa,0-2 years,2
1.0,business development executive,ostello india private limited,delhi,₹  3 - 4 lpa,0-2 years,2
1.0,digital marketing executive,fusion beauty,delhi,₹  2.16 - 3.6 lpa,0-2 years,2
1.0,lofi music playlist curator,feardog music,remote,₹  2 lpa,0-2 years,2
1.0,operations manager,fusion beauty,faridabad,₹  2 - 5 lpa,0-5 years,4
1.0,email writer,the links guy,remote,₹  3.5 - 6.5 lpa,0-5 years,4
,digital marketing executive,mobavenue media private limited,mumbai,₹  2.5 - 3 lpa,0-2 years,2
,business development associate,byju's,bangalore,₹  8 lpa,0-5 years,4
,junior graphic designer,itv network private limited,delhi,₹  3.4 - 3.6 lpa,0-2 years,2
,telecaller,sevarth mission foundation,noida,₹  2 - 2.2 lpa,0-2 years,2
1.0,finance executive,sharepal,bangalore,₹  3 - 4 lpa,0-2 years,2
1.0,client relationship executive,stirring minds,delhi,₹  2 - 2.2 lpa,0-2 years,2
1.0,real estate pre-sales (telecalling & outbound meetings),reflex realty llp,mumbai,₹  2 - 2.2 lpa,0-2 years,2
1.0,junior graphic designer,blue rose publishers,noida,₹  2.6 - 3.6 lpa,0-2 years,2
1.0,business analyst,future skills,hyderabad,₹  3 - 5 lpa,0-5 years,4
1.0,field sales associate,zylu business solutions private limited,bangalore,₹  3.6 lpa,0-2 years,2
1.0,associate video editor,stirring minds,delhi,₹  2 - 2.5 lpa,0-2 years,2
1.0,audit associate,donepull,gurgaon,₹  2 - 3 lpa,0-2 years,2
1.0,finance executive,espangle,remote,₹  2.4 - 4 lpa,0-2 years,2
1.0,lead generation executive,espangle,gurgaon,₹  2.4 - 4 lpa,0-2 years,2
1.0,human resources (hr) executive,wyscale de-fi credit cooperative society limited,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,speech & drama teacher,helen o'grady international,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,instrumentation and control engineer,metastable materials private limited,bangalore,₹  4 - 6 lpa,0-5 years,4
1.0,business development consultant,stirring minds,delhi,₹  2.1 lpa,0-2 years,2
1.0,financial officer,wemakescholars,ahmedabad,₹  3 - 3.7 lpa,0-2 years,2
1.0,fresher full stack developer,busibud,bangalore,₹  3 - 4 lpa,0-2 years,2
1.0,animator,the dreamer designs,remote,₹  2 - 2.25 lpa,0-2 years,2
1.0,business development executive,blue rose publishers,delhi,₹  3 - 3.2 lpa,0-2 years,2
1.0,corporate sales executive,blue rose publishers,kolkata,₹  3 - 4 lpa,0-2 years,2
1.0,social media manager,oragraphy,vadodra,₹  2 - 3 lpa,0-2 years,2
1.0,data entry executive,busibud,bangalore,₹  2.4 - 3 lpa,0-2 years,2
1.0,software engineering educator,future skills,hyderabad,₹  2 - 3.5 lpa,0-2 years,2
1.0,customer engagement specialist,stirring minds,delhi,₹  2 lpa,0-2 years,2
1.0,business development executive (inside sales),valued epistemics private limited,remote,₹  7 lpa,0-5 years,4
,digital marketing analyst,catalysts.team,bangalore,₹  2.5 - 3 lpa,0-2 years,2
1.0,business development associate,byju's the learning app,rewari,₹  4 - 5 lpa,0-5 years,4
1.0,machine learning instructor,future skills,hyderabad,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,operating systems preceptor,future skills,hyderabad,₹  2 - 3.5 lpa,0-2 years,2
1.0,trainee - customer success tech specialist,mobileware technologies private limited,mumbai,₹  3 - 3.5 lpa,0-2 years,2
1.0,computer networks teacher,future skills,hyderabad,₹  2 - 3.5 lpa,0-2 years,2
1.0,junior talent acquisition specialist,wemakescholars,delhi,₹  3.02 - 3.14 lpa,0-2 years,2
1.0,data science instructor,future skills,hyderabad,₹  2 - 3.5 lpa,0-2 years,2
1.0,sales officer,wemakescholars,secunderabad,₹  3 - 3.7 lpa,0-2 years,2
1.0,business development executive,zigsaw consultancy,mumbai,₹  3 lpa,0-2 years,2
1.0,pre-sales executive (interior design),material depot,bangalore,₹  4 - 6 lpa,0-5 years,4
,revenue management executive,amberstudent,pune,₹  3.5 - 5 lpa,0-5 years,4
,videographer,happy kidz,vasai,₹  2.1 - 2.88 lpa,0-2 years,2
,real estate sales executive,property discuss,pune,₹  3.6 - 4.8 lpa,0-2 years,2
1.0,trainee business process transformation engineer,mobileware technologies private limited,mumbai,₹  3 - 3.5 lpa,0-2 years,2
,sales specialist,cameraji,bangalore,₹  2 - 4 lpa,0-2 years,2
